qid,modelLabel,ano_inicio,ano_fim,countryLabel,instanceOfLabel
Q106097127,Q106097127,,,,modelo de automóvel
Q112635444,Q112635444,,,,modelo de automóvel
Q116430989,Q116430989,,,,modelo de automóvel
Q116430989,Q116430989,,,,modelo de automóvel
Q11837544,Q11837544,,,,bus model
Q132753596,Q132753596,,,,modelo de automóvel
Q132753607,Q132753607,,,,modelo de automóvel
Q135984188,Q135984188,,,,modelo de automóvel
Q135984189,Q135984189,,,,modelo de automóvel
Q136029676,Q136029676,,,,modelo de automóvel
Q2506785,Q2506785,,,,carro conceptual
Q2506785,Q2506785,,,,modelo de automóvel
Q2506888,Q2506888,,,,modelo de automóvel
Q25393205,Q25393205,,,,modelo de automóvel
Q9369095,Q9369095,,,,truck model
Q911580,Brezelkäfer,,,,modelo de automóvel
Q65129018,Cupra Formentor,,,,modelo de automóvel
Q1347004,Porsche 914,,,,modelo de automóvel
Q131421569,VW Tayron L,,,,modelo de automóvel
Q2506944,VW Touran HyMotion,,,,carro conceptual
Q2506944,VW Touran HyMotion,,,,modelo de automóvel
Q4845447,Volkswagen ARVW,,,,carro conceptual
Q4845447,Volkswagen ARVW,,,,modelo de automóvel
Q24883601,Volkswagen Ameo,,,,modelo de automóvel
Q12072925,Volkswagen Bora (2007),,,,modelo de automóvel
Q27926746,Volkswagen C-Trek,,,,modelo de automóvel
Q18510655,Volkswagen Caddy Typ 2K,,,,modelo de automóvel
Q18510648,Volkswagen Caddy Typ 9K,,,,modelo de automóvel
Q86727675,Volkswagen Caddy V,,,,modelo de automóvel
Q1026786,Volkswagen California,,,,modelo de automóvel
Q7940304,Volkswagen Concept R,,,,modelo de automóvel
Q7940304,Volkswagen Concept R,,,,modelo de automóvel
Q1143430,Volkswagen Country Buggy,,,,modelo de automóvel
Q23637401,Volkswagen Cross Coupe GTE Concept,,,,modelo de automóvel
Q7940306,Volkswagen CrossBlue,,,,modelo de automóvel
Q7940309,Volkswagen Doublecab,,,,modelo de automóvel
Q221794,Volkswagen EA489 Basistransporter,,,,truck model
Q1520000,Volkswagen Golf Cabriolet,,,,modelo de automóvel
Q3562806,Volkswagen Golf City,,,,modelo de automóvel
Q1393500,Volkswagen Golf Mk2,,,Alemanha,modelo de automóvel
Q1419308,Volkswagen Golf Mk4,,,Alemanha,modelo de automóvel
Q1428988,Volkswagen Golf Mk5,,,Alemanha,modelo de automóvel
Q1417956,Volkswagen Golf Mk6,,,Alemanha,modelo de automóvel
Q62362,Volkswagen Golf Mk7,,,Alemanha,modelo de automóvel
Q56403002,Volkswagen Golf Mk8,,,Alemanha,modelo de automóvel
Q12072922,Volkswagen Golf R,,,,modelo de automóvel
Q12072923,Volkswagen Golf R32,,,,modelo de automóvel
Q1779716,Volkswagen Golf Variant,,,,modelo de automóvel
Q13410061,Volkswagen Gran Lavida,,,,modelo de automóvel
Q25386732,Volkswagen Gran Santana,,,,modelo de automóvel
Q108430636,Volkswagen ID. Life,,,,modelo de automóvel
Q136088543,Volkswagen ID. Polo,,,,modelo de automóvel
Q136804241,Volkswagen ID. UNYX 06,,,,modelo de automóvel
Q136522736,Volkswagen ID. UNYX 07,,,,modelo de automóvel
Q136758882,Volkswagen ID. UNYX 08,,,,modelo de automóvel
Q125739580,Volkswagen ID.3 Chuzhong,,,Alemanha,modelo de automóvel
Q124471809,Volkswagen ID.4 Crozz,,,Alemanha,modelo de automóvel
Q131136320,Volkswagen ID.6 Crozz,,,,modelo de automóvel
Q131136408,Volkswagen ID.6 X,,,,modelo de automóvel
Q124884295,Volkswagen ID.7 Tourer,,,,modelo de automóvel
Q3562808,Volkswagen Jetta City,,,,modelo de automóvel
Q2506811,Volkswagen Jetta I,,,,modelo de automóvel
Q282455,Volkswagen Jetta II,,,,modelo de automóvel
Q1386561,Volkswagen Jetta König,,,,modelo de automóvel
Q13386136,Volkswagen Jetta Night,,,,modelo de automóvel
